travel_time_sec,temperature_2m (°C),precipitation (mm),relative_humidity_2m (%),visibility (m),wind_speed_10m (km/h),bias
492,-0.7,0,47,39100,24.2,1
454,-0.7,0,47,39100,24.2,1
545,-0.1,0,47,38700,26.4,1
557,-0.1,0,47,38700,26.4,1
537,-0.1,0,47,38700,26.4,1
455,-0.5,0,48,36600,23,1
453,-0.5,0,48,36600,23,1
479,-0.8,0,47,38100,23.4,1
464,-0.8,0,47,38100,23.4,1
483,-0.8,0,47,38100,23.4,1
502,-0.6,0,48,39600,21.9,1
465,-0.6,0,48,39600,21.9,1
433,-0.6,0,48,39600,21.9,1
539,-0.1,0,47,38200,27.4,1
577,-0.1,0,47,38200,27.4,1
469,-0.6,0,46,38600,23.1,1
488,-0.6,0,46,38600,23.1,1
517,-0.2,0,47,37800,26.1,1
504,-0.2,0,47,37800,26.1,1
474,-0.2,0,47,37800,26.1,1
580,-0.6,0,48,38600,22.4,1
690,-0.6,0,48,38600,22.4,1
517,-0.5,0,46,42300,18.9,1
512,-0.5,0,46,42300,18.9,1
623,-0.7,0,48,37600,22.5,1
521,-0.7,0,48,37600,22.5,1
464,-0.7,0,48,37600,22.5,1
506,-0.2,0,47,40000,24.8,1
439,-0.2,0,47,40000,24.8,1
457,-0.2,0,47,40000,24.8,1
491,-0.8,0,47,37100,22.8,1
490,-0.8,0,47,37100,22.8,1
475,-0.4,0,47,38200,25.3,1
457,-0.4,0,47,38200,25.3,1
456,-0.4,0,47,40900,24.5,1
469,-0.4,0,47,40900,24.5,1
487,-0.4,0,47,40900,24.5,1
477,-1,0,42,40100,15.9,1
482,-1,0,42,40100,15.9,1
481,-0.9,0,40,39100,15.6,1
470,-0.9,0,40,39100,15.6,1
459,-0.6,0,46,40500,19.5,1
502,-0.6,0,46,40500,19.5,1
474,-0.3,0,40,49300,20.6,1
475,-0.3,0,40,49300,20.6,1
469,-0.8,0,45,39400,19.8,1
480,-0.8,0,45,39400,19.8,1
478,-0.8,0,41,43500,16.6,1
503,-0.8,0,41,43500,16.6,1
479,-0.8,0,41,43500,16.6,1
479,-0.7,0,45,39300,21.1,1
434,-0.7,0,45,39300,21.1,1
485,-0.5,0,44,44300,21.4,1
455,-0.5,0,44,44300,21.4,1
502,-0.8,0,43,41100,15.5,1
486,-0.8,0,43,41100,15.5,1
492,-0.8,0,43,41400,18.1,1
516,-0.8,0,43,41400,18.1,1
439,-0.8,0,45,39600,15.5,1
518,-0.8,0,45,39600,15.5,1
480,1.5,0,46,42500,23.9,1
454,1.5,0,46,42500,23.9,1
509,-0.1,0,46,42700,16.1,1
477,-0.1,0,46,42700,16.1,1
476,1.7,0,44,44500,26,1
512,1.7,0,44,44500,26,1
596,0.2,0,47,41600,19.2,1
525,0.2,0,47,41600,19.2,1
479,0.2,0,47,41600,19.2,1
518,1.8,0,42,44800,25.9,1
519,1.8,0,42,44800,25.9,1
547,2.2,0,41,47900,29.3,1
469,2.2,0,41,47900,29.3,1
466,2.2,0,41,47900,29.3,1
469,0.6,0,47,41100,23.5,1
471,0.6,0,47,41100,23.5,1
487,0.8,0,47,42700,26.4,1
530,0.8,0,47,42700,26.4,1
511,1.3,0,47,41300,21.9,1
512,1.3,0,47,41300,21.9,1
475,1.3,0,47,41300,21.9,1
505,2.5,0,40,45200,29.6,1
390,2.5,0,40,45200,29.6,1
485,2.5,0,40,45200,29.6,1
444,3.3,0,37,51900,28.5,1
503,3.3,0,37,51900,28.5,1
447,3.3,0,37,51900,28.5,1
460,2.6,0,37,51700,27.5,1
469,2.6,0,37,51700,27.5,1
444,2.6,0,37,51700,27.5,1
546,2.7,0,37,51300,29.5,1
448,2.7,0,37,51300,29.5,1
493,2.7,0,37,51300,29.5,1
484,2.5,0,37,50600,26.7,1
418,2.5,0,37,50600,26.7,1
507,2.5,0,37,50600,26.7,1
456,1.4,0,41,46600,28.2,1
496,1.4,0,41,46600,28.2,1
488,1.4,0,41,46600,28.2,1
496,2.7,0,39,48400,30.8,1
457,2.7,0,39,48400,30.8,1
556,3.5,0,38,51500,30.1,1
452,3.5,0,38,51500,30.1,1
485,3.5,0,38,51500,30.1,1
534,1.7,0,41,46600,29,1
521,2.1,0,41,46200,29.5,1
510,2.1,0,41,46200,29.5,1
482,2.1,0,41,46200,29.5,1
491,2.8,0,36,50000,28.6,1
472,2.8,0,36,50000,28.6,1
472,2.8,0,36,50000,28.6,1
464,3,0,38,51800,29.4,1
503,3,0,38,51800,29.4,1
602,2.9,0,37,51100,29.7,1
604,2.9,0,37,51100,29.7,1
527,2.9,0,37,51100,29.7,1
437,3.3,0,36,53400,28,1
489,3.3,0,36,53400,28,1
473,3.3,0,36,53400,28,1
461,2.9,0,41,47600,29.5,1
518,2.9,0,41,47600,29.5,1
527,2.9,0,41,47600,29.5,1
518,2.8,0,37,50800,28.9,1
561,2.8,0,37,50800,28.9,1
515,2.7,0,36,53200,28.5,1
511,2.7,0,36,53200,28.5,1
570,2.5,0,40,45800,29.3,1
664,2.5,0,40,45800,29.3,1
505,1.1,0,35,52600,17.7,1
496,1.1,0,35,52600,17.7,1
476,2.8,0,37,52700,26.8,1
497,2.8,0,37,52700,26.8,1
467,0.9,0,36,50600,14.7,1
475,0.9,0,36,50600,14.7,1
470,2.3,0,37,54200,25.3,1
459,2.3,0,37,54200,25.3,1
450,0.5,0,36,49600,13.4,1
454,0.5,0,36,49600,13.4,1
425,2.2,0,36,54100,23.5,1
493,2.2,0,36,54100,23.5,1
463,2,0,35,53000,21.7,1
428,1.8,0,35,55700,21.7,1
477,1.8,0,35,55700,21.7,1
443,-0.7,0,41,45900,9.8,1
444,-0.7,0,41,45900,9.8,1
472,-1,0,43,39300,11,1
432,0.6,0,37,53400,13.9,1
513,0.6,0,37,53400,13.9,1
421,-0.9,0,41,42800,8.7,1
431,-0.9,0,41,42800,8.7,1
475,-0.9,0,41,42800,8.7,1
535,0.2,0,38,50700,12.4,1
470,0.2,0,38,50700,12.4,1
507,-0.7,0,41,48900,12.5,1
451,-0.7,0,41,48900,12.5,1
456,-0.7,0,41,48900,12.5,1
452,-1,0,42,41800,10.6,1
485,-0.1,0,39,49600,11.8,1
448,-0.1,0,39,49600,11.8,1
484,-0.2,0,40,49200,13.3,1
481,-0.9,0,41,45600,10.8,1
457,-0.9,0,41,45600,10.8,1
506,-0.3,0,41,48300,9.8,1
485,-0.3,0,41,48300,9.8,1
577,-0.1,0,45,39300,23.2,1
598,-0.1,0,45,39300,23.2,1
525,-0.1,0,45,39300,23.2,1
594,-0.2,0,46,37600,24.8,1
519,-0.2,0,46,37600,24.8,1
513,2.9,0,36,49700,29.2,1
455,2.9,0,36,49700,29.2,1
454,-3.4,0,52,30700,12.6,1
458,-3.4,0,52,30700,12.6,1
445,-3.6,0,46,39400,14,1
461,-3.6,0,46,39400,14,1
467,-3.7,0,46,39300,15.4,1
450,-3.7,0,46,39300,15.4,1
487,-3.9,0,45,39900,13.6,1
488,-3.9,0,45,39900,13.6,1
517,-4.3,0,47,33600,9.8,1
561,-4.3,0,47,33600,9.8,1
496,-3.8,0,47,34200,19.8,1
464,-3.8,0,47,34200,19.8,1
468,-2.3,0,41,44900,21.2,1
463,-2.3,0,41,44900,21.2,1
511,-1.6,0,38,49800,23.8,1
488,-1.6,0,38,49800,23.8,1
481,-1.4,0,38,53600,26.7,1
442,-1.4,0,38,53600,26.7,1
469,-2.3,0,39,50600,24.9,1
445,-2.3,0,39,50600,24.9,1
698,-3.2,0,42,47700,18.8,1
472,-3.2,0,42,47700,18.8,1
465,-3.5,0,44,44500,12.2,1
484,-3.5,0,44,44500,12.2,1
466,-3.3,0,52,36700,11.9,1
449,-3.5,0,46,39500,13.7,1
462,-3.4,0,46,41800,15.7,1
469,-3.4,0,46,41800,15.7,1
497,-4.1,0,47,38500,13.8,1
477,-4.1,0,47,38500,13.8,1
487,-3.8,0,46,42300,12.3,1
469,-3.8,0,46,42300,12.3,1
491,-3.5,0,45,35800,18.3,1
509,-3.5,0,45,35800,18.3,1
489,-1.4,0,41,45600,25.3,1
531,-1.2,0,38,50500,27.4,1
516,-2.3,0,39,50100,23.8,1
478,-3.5,0,43,45600,18,1
471,-3.6,0,43,45100,11.7,1
453,-3.6,0,43,45100,11.7,1
508,-3.3,0,51,35500,10.7,1
